sid,block_type,unitx,trial_type,frequency_type,rt.med,rt.mean,n,correctn,acc
sub124,learning,L18,random,low,685.072399995988,669.837262496003,5,5,1
sub124,learning,L18,regular,high,534.568849994685,542.254920779249,39,39,1
sub124,learning,L19,random,high,558.645900004194,552.032785087935,25,25,1
sub124,learning,L19,random,low,477.392250002595,483.59855000308,5,5,1
sub124,learning,L19,regular,high,504.722349993244,530.464388333623,39,39,1
sub124,learning,L20,random,high,516.279300005408,533.518326668289,19,19,1
sub124,learning,L20,random,low,614.953500000411,596.929229996749,7,7,1
sub124,learning,L20,regular,high,524.764600006165,519.566100555191,38,38,1
sub124,testing,T01,random,high,366.00009999529,373.708989473495,24,24,1
sub124,testing,T01,random,low,362.511999996059,363.278216664185,7,7,1
sub124,testing,T01,regular,high,357.000799995149,358.392765555214,39,39,1
sub124,testing,T02,random,high,355.916100001195,370.789049999775,14,14,1
sub124,testing,T02,random,low,366.974999993545,360.972741664834,8,8,1
sub124,testing,T02,regular,high,346.789949995582,347.320971111023,38,38,1
sub124,testing,T03,random,high,397.508624992042,384.400471872596,18,18,1
sub124,testing,T03,random,low,365.869300003396,404.625749997649,8,8,1
sub124,testing,T03,regular,high,362.91505000554,372.388512500568,36,36,1
